Divisional_Office,Zone_Office,Area_Office,Branch_Code,Branch_Name,Loanee,Member,Loan_Amount,Outstanding_Pr
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,909,Naruli Branch,78,78,"7,550,000.00","7,523,583.00"
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,913,Bogra Shohor Branch,63,63,"7,175,000.00","7,135,509.00"
OP Domain Bogra,Bogra Central Zone,Dupchanchia Region,951,Dupchanchia Branch,72,72,"4,255,000.00","4,201,528.00"
OP Domain Bogra,Bogra Central Zone,Central Region,988,Godarpara-2,160,160,"14,761,000.00","14,501,971.00"
OP Domain Bogra,Bogra Central Zone,Banani Region,989,Ashekpur-02,99,99,"10,650,000.00","10,599,224.00"
OP Domain Bogra,Bogra Central Zone,Banani Region,990,Banani-02,74,74,"11,475,000.00","11,439,383.00"
OP Domain Bogra,Bogra North Zone,Mohasthan Region,1,Mohasthan-1,306,306,"17,444,000.00","17,253,941.00"
OP Domain Bogra,Bogra North Zone,Baluahat Region,7,Mokamtola,228,228,"11,410,000.00","11,272,070.00"
OP Domain Bogra,Bogra North Zone,Gabtoli Region,8,Hatfulbari,167,166,"10,155,000.00","10,054,205.00"
OP Domain Bogra,Bogra North Zone,Baluahat Region,9,Baluahat,142,142,"9,290,000.00","9,210,021.00"
OP Domain Bogra,Bogra North Zone,Mohasthan Region,14,Pirgachha-1,270,270,"16,437,000.00","16,296,953.00"
OP Domain Bogra,Bogra North Zone,Gabtoli Region,17,Gabtoli-1,256,256,"16,785,000.00","16,612,498.00"
OP Domain Bogra,Bogra North Zone,Sibganj Region,21,Namuja,135,135,"8,100,000.00","8,048,369.00"
OP Domain Bogra,Bogra North Zone,Sibganj Region,22,Shibganj-1,136,136,"11,051,000.00","10,992,337.00"
OP Domain Bogra,Bogra North Zone,Mohasthan Region,23,Gokul,226,226,"20,440,000.00","20,290,003.00"
OP Domain Bogra,Bogra North Zone,Baluahat Region,24,Gangnagor,191,191,"15,451,000.00","15,338,932.00"
OP Domain Bogra,Bogra North Zone,Gabtoli Region,26,Golabari,185,185,"10,215,000.00","10,048,136.00"
OP Domain Bogra,Bogra North Zone,Gabtoli Region,27,Shukhanpukur,212,212,"15,965,000.00","15,868,653.00"
OP Domain Bogra,Bogra North Zone,Sibganj Region,29,Daridaho,182,182,"11,765,000.00","11,666,395.00"
OP Domain Bogra,Bogra North Zone,Sibganj Region,40,Pirob,173,173,"11,585,000.00","11,527,950.00"
OP Domain Bogra,Bogra North Zone,Mohasthan Region,210,Mohasthan-2,72,72,"8,665,000.00","8,654,823.00"
OP Domain Bogra,Bogra North Zone,Baluahat Region,254,Mohimagonj,210,210,"13,430,000.00","13,290,567.00"
OP Domain Bogra,Bogra North Zone,Baluahat Region,421,Velurpara,139,139,"9,122,000.00","9,021,090.00"
OP Domain Bogra,Bogra North Zone,Sibganj Region,559,Guzia,129,129,"10,710,000.00","10,683,806.00"
OP Domain Bogra,Bogra North Zone,Mohasthan Region,612,Ghoradhap,254,254,"11,725,000.00","11,661,642.00"
OP Domain Bogra,Bogra North Zone,Gabtoli Region,902,Hatfulbari Branch,129,129,"10,075,000.00","9,975,644.00"
OP Domain Bogra,Bogra North Zone,Shibganj Region,903,Pirob Branch,76,76,"6,700,000.00","6,666,262.00"
OP Domain Bogra,Bogra North Zone,Baluahat Region,907,Mokamtola Branch,101,101,"7,728,000.00","7,686,231.00"
OP Domain Bogra,Bogra North Zone,Gabtoli Region,916,Gabtoli Branch,70,70,"4,555,000.00","4,507,326.00"
OP Domain Bogra,Bogra North Zone,Mohasthan Region,962,Pirgacha Branch,71,71,"7,280,000.00","7,246,262.00"
OP Domain Bogra,Bogra South Zone,Dhunat Region,4,Mothurapur,173,173,"12,593,000.00","12,484,242.00"
OP Domain Bogra,Bogra South Zone,Dhunat Region,5,Dhunat,144,144,"8,684,000.00","8,560,231.00"
OP Domain Bogra,Bogra South Zone,Gohail Region,16,Nandigram,152,152,"8,255,000.00","8,115,930.00"
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,18,Sherpur-1,284,284,"21,554,000.00","21,371,690.00"
OP Domain Bogra,Bogra South Zone,Gohail Region,32,Gohail,198,198,"9,890,000.00","9,769,094.00"
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,34,Dosmail-1,125,125,"8,181,000.00","8,115,694.00"
OP Domain Bogra,Bogra South Zone,Gohail Region,39,Maloncha,176,176,"11,890,000.00","11,804,429.00"
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,42,Chandaikona,125,125,"9,388,000.00","9,321,828.00"
