Divisional_Office,Zone_Office,Area_Office,Branch_Code,Branch_Name,Loanee,Member,Loan_Amount,Outstanding_Pr
OP Domain Chittagaon,Noakhali Zone,Subarnochar Region,494,Sonapur-1,56,56,"4,955,000.00","4,923,293.00"
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,504,Amishapara,82,82,"13,290,000.00","13,290,000.00"
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,626,Chayani,38,38,"5,945,000.00","5,940,576.00"
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,629,Kankirhat,65,65,"7,490,000.00","7,487,124.00"
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,707,Chowmuhuni-2,66,66,"9,230,000.00","9,197,480.00"
OP Domain Chittagaon,Noakhali Zone,Subarnochar Region,708,Boyarchar,73,73,"8,202,000.00","8,199,788.00"
OP Domain Chittagaon,Noakhali Zone,Subarnochar Region,712,Vatirtek,93,93,"9,850,000.00","9,843,143.00"
OP Domain Chittagaon,Noakhali Zone,Subarnochar Region,726,Aktarmiarhat,69,69,"8,300,000.00","8,298,230.00"
OP Domain Chittagaon,Noakhali Zone,Subarnochar Region,739,Subornochar,59,59,"5,688,000.00","5,678,488.00"
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,824,Natherpetua,75,75,"8,800,000.00","8,798,673.00"
OP Domain Chittagaon,Satkania Zone,Anowara Region,166,Patiya-1,132,131,"11,570,000.00","11,515,208.00"
OP Domain Chittagaon,Satkania Zone,Satkania Region,171,Chandanaish,83,82,"7,575,000.00","7,537,398.00"
OP Domain Chittagaon,Satkania Zone,Anowara Region,176,Boalkhali,113,113,"7,245,000.00","7,189,584.00"
OP Domain Chittagaon,Satkania Zone,Anowara Region,401,Anowara,129,128,"9,885,000.00","9,848,507.00"
OP Domain Chittagaon,Satkania Zone,Anowara Region,402,Shantirhat,109,105,"7,595,000.00","7,553,519.00"
OP Domain Chittagaon,Satkania Zone,Satkania Region,405,Satkania-1,126,124,"10,475,000.00","10,392,378.00"
OP Domain Chittagaon,Satkania Zone,Satkania Region,406,Lohagara,94,94,"10,120,000.00","10,078,411.00"
OP Domain Chittagaon,Satkania Zone,Eidgaon Region,474,Coxs Bazar,77,77,"7,865,000.00","7,824,294.00"
OP Domain Chittagaon,Satkania Zone,Anowara Region,491,Patiya-2,69,69,"5,400,000.00","5,372,013.00"
OP Domain Chittagaon,Satkania Zone,Satkania Region,517,Dohazari,70,70,"6,290,000.00","6,275,178.00"
OP Domain Chittagaon,Satkania Zone,Satkania Region,518,Satkania-2,56,56,"5,640,000.00","5,623,187.00"
OP Domain Chittagaon,Satkania Zone,Eidgaon Region,646,Chokoria,99,99,"7,500,000.00","7,457,872.00"
OP Domain Chittagaon,Satkania Zone,Eidgaon Region,804,Banglabazar,94,94,"9,990,000.00","9,970,753.00"
OP Domain Chittagaon,Satkania Zone,Eidgaon Region,844,Eidgaon,74,74,"6,665,000.00","6,625,839.00"
OP Domain Comilla,Chandpur Zone,Foridjonj Region,215,Ramganj-1,139,132,"14,374,000.00","14,329,257.00"
OP Domain Comilla,Chandpur Zone,Foridjonj Region,226,Faridganj-1,75,73,"9,580,000.00","9,543,447.00"
OP Domain Comilla,Chandpur Zone,Chandpur Region,412,Haziganj-2,102,100,"8,762,000.00","8,706,453.00"
OP Domain Comilla,Chandpur Zone,Chandpur Region,413,Chandpur-1,125,125,"9,740,000.00","9,691,047.00"
OP Domain Comilla,Chandpur Zone,kochua Region,414,Shahrasti,87,87,"12,840,000.00","12,803,732.00"
OP Domain Comilla,Chandpur Zone,kochua Region,415,Kochua-1,167,157,"18,425,000.00","18,348,792.00"
OP Domain Comilla,Chandpur Zone,Motlob Region,416,MOTLOB,74,74,"8,370,000.00","8,344,334.00"
OP Domain Comilla,Chandpur Zone,Chandpur Region,523,Chandpur-2,86,85,"6,520,000.00","6,483,438.00"
OP Domain Comilla,Chandpur Zone,Motlob Region,601,Kochua-4,69,69,"9,165,000.00","9,157,683.00"
OP Domain Comilla,Chandpur Zone,Motlob Region,655,Chhengarchar,98,95,"10,785,000.00","10,753,964.00"
OP Domain Comilla,Chandpur Zone,Foridjonj Region,749,Faridganj-2,60,60,"8,490,000.00","8,484,690.00"
OP Domain Comilla,Chandpur Zone,Foridjonj Region,750,Ramganj-2,60,56,"5,570,000.00","5,566,128.00"
OP Domain Comilla,Chandpur Zone,kochua Region,752,Kochua-2,73,73,"8,965,000.00","8,942,436.00"
OP Domain Comilla,Chandpur Zone,Foridjonj Region,760,Haimchar,89,89,"8,415,000.00","8,400,771.00"
OP Domain Comilla,Chandpur Zone,kochua Region,769,Khila Bazar,63,58,"7,085,000.00","7,044,254.00"
OP Domain Comilla,Chandpur Zone,Motlob Region,799,Nayer gaon,86,85,"13,490,000.00","13,431,373.00"
OP Domain Comilla,Chandpur Zone,Motlob Region,832,Natun Bazar-2,66,66,"8,105,000.00","8,097,921.00"
OP Domain Comilla,Chandpur Zone,Chandpur Region,836,Mohamaya,59,59,"4,660,000.00","4,638,783.00"
OP Domain Comilla,Chandpur Zone,Chandpur Region,838,Rampur,33,33,"3,870,000.00","3,863,585.00"
OP Domain Comilla,Chandpur Zone,Motlob Region,854,Kalirbazar-2,45,45,"6,120,000.00","6,106,062.00"
OP Domain Comilla,Chandpur Zone,Foridjonj Region,868,Bhatra-2,45,45,"5,485,000.00","5,478,806.00"
OP Domain Comilla,Chandpur Zone,kochua Region,891,Jagatpur,46,46,"8,480,000.00","8,431,572.00"
OP Domain Comilla,Comilla West Zone,Gowripur Region,503,Gouripur,99,99,"13,924,000.00","13,891,747.00"
OP Domain Comilla,Comilla West Zone,Kutir Bazar Region,530,Companiganj-2,114,114,"16,690,000.00","16,660,605.00"
OP Domain Comilla,Comilla West Zone,Homna Region,534,Homna,107,107,"16,005,000.00","15,995,943.00"
OP Domain Comilla,Comilla West Zone,Gowripur Region,582,Bhaberchar,62,62,"8,900,000.00","8,885,620.00"
OP Domain Comilla,Comilla West Zone,Homna Region,600,Bancharampur-1,93,92,"18,625,000.00","18,615,269.00"
OP Domain Comilla,Comilla West Zone,Homna Region,636,Batakandi,84,84,"11,460,000.00","11,444,740.00"
OP Domain Comilla,Comilla West Zone,Gowripur Region,643,Eliotgonj,80,79,"8,315,000.00","8,286,208.00"
OP Domain Comilla,Comilla West Zone,Homna Region,699,Bakhrabad,72,69,"11,170,000.00","11,134,027.00"
OP Domain Comilla,Comilla West Zone,Srikail Region,741,Solimgonj,91,90,"12,780,000.00","12,763,856.00"
OP Domain Comilla,Comilla West Zone,Srikail Region,761,Nabinagar,62,60,"10,600,000.00","10,595,593.00"
OP Domain Comilla,Comilla West Zone,Srikail Region,765,Bancharampur-2,79,76,"11,947,000.00","11,945,894.00"
OP Domain Comilla,Comilla West Zone,Gowripur Region,781,Sacharbazar,101,84,"9,719,000.00","9,705,947.00"
OP Domain Comilla,Comilla West Zone,Kutir Bazar Region,796,Bangura,59,59,"8,730,000.00","8,722,921.00"
OP Domain Comilla,Comilla West Zone,Homna Region,797,Meghna,62,61,"9,760,000.00","9,756,216.00"
OP Domain Comilla,Comilla West Zone,Srikail Region,802,Ramchandropur,101,101,"15,760,000.00","15,715,299.00"
OP Domain Comilla,Comilla West Zone,Homna Region,826,Dulalpur,79,78,"10,190,000.00","10,179,166.00"
OP Domain Comilla,Comilla West Zone,Gowripur Region,837,Daudkandi,54,54,"7,186,000.00","7,161,443.00"
OP Domain Comilla,Comilla West Zone,Kutir Bazar Region,840,Kutir Bazar,38,38,"4,440,000.00","4,438,673.00"
OP Domain Comilla,Comilla West Zone,Srikail Region,855,Srikail,43,43,"6,620,000.00","6,617,788.00"
OP Domain Comilla,Comilla West Zone,Kutir Bazar Region,872,Kasba,39,38,"6,300,000.00","6,300,000.00"
OP Domain Comilla,Comilla West Zone,Kutir Bazar Region,885,Nayanpur,23,23,"5,240,000.00","5,232,921.00"
OP Domain Comilla,Comilla Zone,Choddogram Region,170,Chauddagram,105,105,"12,360,000.00","12,340,445.00"
OP Domain Comilla,Comilla Zone,Choddogram Region,214,LAKSHAM,97,95,"10,150,000.00","10,084,519.00"
OP Domain Comilla,Comilla Zone,Chandina Region,217,CHANDINA,82,73,"10,255,000.00","10,240,014.00"
OP Domain Comilla,Comilla Zone,Comilla Region,219,Comilla-1,118,118,"27,215,000.00","27,169,647.00"
OP Domain Comilla,Comilla Zone,Bagmara Region,314,Barura-1,103,103,"15,360,000.00","15,340,311.00"
OP Domain Comilla,Comilla Zone,Choddogram Region,315,MIA BAZAR,111,111,"13,826,000.00","13,792,489.00"
OP Domain Comilla,Comilla Zone,Comilla Region,317,Burichang,109,106,"13,000,000.00","12,945,091.00"
OP Domain Comilla,Comilla Zone,Bagmara Region,349,Bagmara,96,95,"13,510,000.00","13,470,623.00"
OP Domain Comilla,Comilla Zone,Comilla Region,481,Alekharchar,94,94,"20,350,000.00","20,333,851.00"
OP Domain Comilla,Comilla Zone,Bagmara Region,497,Mudaffargonj,117,110,"11,760,000.00","11,730,478.00"
OP Domain Comilla,Comilla Zone,Chandina Region,500,Debidwar,68,68,"9,450,000.00","9,427,839.00"
OP Domain Comilla,Comilla Zone,Comilla Region,520,Comilla-2,129,129,"27,560,000.00","27,502,923.00"
OP Domain Comilla,Comilla Zone,Chandina Region,526,Dollai Nababpur,91,91,"13,690,000.00","13,678,495.00"
OP Domain Comilla,Comilla Zone,Choddogram Region,577,Bangodda,51,46,"8,860,000.00","8,855,575.00"
OP Domain Comilla,Comilla Zone,Bagmara Region,786,Barura-2,78,78,"11,985,000.00","11,973,495.00"
OP Domain Comilla,Comilla Zone,Comilla Region,808,Kotbari,82,82,"20,050,000.00","20,040,532.00"
OP Domain Comilla,Comilla Zone,Choddogram Region,827,Kashinagar,41,41,"6,425,000.00","6,408,452.00"
OP Domain Comilla,Comilla Zone,Chandina Region,833,Nimsar,48,48,"7,170,000.00","7,143,961.00"
OP Domain Comilla,Comilla Zone,Choddogram Region,852,Chowara,48,48,"5,285,000.00","5,255,577.00"
OP Domain Comilla,Comilla Zone,Comilla Region,853,Brahmanpara,45,45,"6,930,000.00","6,917,832.00"
OP Domain Comilla,Comilla Zone,Chandina Region,866,Kangshanagar,37,37,"5,080,000.00","5,067,169.00"
OP Domain Comilla,Comilla Zone,Bagmara Region,892,Bijoypur,31,31,"4,320,000.00","4,318,238.00"
OP Domain Comilla,Laxmipur Zone,Raypur Region,109,Raypur,95,93,"11,672,000.00","11,620,887.00"
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,493,Laxmipur-2,104,104,"14,085,000.00","14,030,843.00"
OP Domain Comilla,Laxmipur Zone,Raypur Region,524,Dalabazar,105,104,"12,092,000.00","12,091,336.00"
OP Domain Comilla,Laxmipur Zone,Alexander Region,581,Lorence,111,109,"13,220,000.00","13,220,000.00"
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,602,Mandari Bazar,82,82,"12,900,000.00","12,894,690.00"
OP Domain Comilla,Laxmipur Zone,Raypur Region,702,Haydargonj,57,56,"7,365,000.00","7,361,405.00"
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,714,Bhabaniganj-3,57,57,"8,570,000.00","8,549,830.00"
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,718,Dighli Bazar,83,83,"13,265,000.00","13,258,762.00"
OP Domain Comilla,Laxmipur Zone,Alexander Region,719,Hazirhat,64,64,"8,290,000.00","8,284,690.00"
OP Domain Comilla,Laxmipur Zone,Alexander Region,721,Munsirhat,79,79,"9,660,000.00","9,660,000.00"
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,728,Mojuchowdhurirhat,141,141,"15,215,000.00","15,184,207.00"
OP Domain Comilla,Laxmipur Zone,Alexander Region,755,Alekgendar,71,71,"8,030,000.00","8,030,000.00"
OP Domain Comilla,Laxmipur Zone,Raypur Region,756,Rakhalia Bazar,67,66,"9,215,000.00","9,209,027.00"
OP Domain Comilla,Laxmipur Zone,Raypur Region,766,Kalirbazar-1,61,55,"7,110,000.00","7,108,230.00"
OP Domain Comilla,Laxmipur Zone,Alexander Region,767,Chowdhurirhat,117,117,"8,840,000.00","8,839,115.00"
OP Domain Comilla,Laxmipur Zone,Alexander Region,770,Sayednagor,89,89,"8,720,000.00","8,719,115.00"
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,784,Andarchar,53,53,"8,650,000.00","8,650,000.00"
OP Domain Comilla,Laxmipur Zone,Laxmipur Region,856,Sompara,35,35,"4,370,000.00","4,370,000.00"
OP Domain Comilla,Laxmipur Zone,Alexander Region,886,Shantirhat-2,41,41,"4,520,000.00","4,520,000.00"
OP Domain Comilla,Laxmipur Zone,Raypur Region,890,Gridakalindia,28,28,"3,240,000.00","3,237,445.00"
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,43,Dhaka,140,140,"11,820,000.00","11,683,719.00"
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,155,Khilgaon,202,202,"14,555,000.00","14,382,224.00"
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,158,BADDA,145,145,"14,330,000.00","14,163,679.00"
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,179,Kaliganj-1,109,109,"9,390,000.00","9,323,897.00"
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,279,Board bazar,118,118,"11,950,000.00","11,831,600.00"
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,376,Rupnagor,95,95,"8,940,000.00","8,841,329.00"
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,377,Mohammadpur,233,233,"16,125,000.00","15,827,662.00"
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,467,Tongi,149,149,"16,980,000.00","16,899,915.00"
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,471,Kalyanpur,136,136,"10,025,000.00","9,893,590.00"
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,521,Bijoynagar-1,133,133,"12,710,000.00","12,614,429.00"
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,557,Cherag Ali,149,149,"13,470,000.00","13,363,457.00"
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,564,Dhorpara,133,133,"11,180,000.00","11,120,487.00"
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,659,Khilkhet,119,119,"12,035,000.00","11,952,485.00"
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,687,Kalshi,154,154,"12,420,000.00","12,228,982.00"
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,803,Atibazar,89,89,"7,920,000.00","7,833,940.00"
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,168,Demra-1,179,179,"13,020,000.00","12,800,686.00"
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,188,Fotullah,176,176,"14,370,000.00","14,268,682.00"
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,193,Narayanganj-1,109,109,"13,990,000.00","13,905,889.00"
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,194,Sonargaon,149,149,"12,490,000.00","12,379,166.00"
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,198,Haziganj-1,157,157,"19,555,000.00","19,477,569.00"
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,247,Keraniganj,136,136,"9,130,000.00","8,986,202.00"
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,248,Kamrangirchar,201,201,"16,430,000.00","16,126,780.00"
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,278,Pagla Bazar,214,214,"14,225,000.00","13,918,347.00"
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,382,Nawabganj,57,57,"7,680,000.00","7,647,035.00"
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,391,Joypara,102,102,"11,670,000.00","11,613,053.00"
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,468,Narayanganj-2,156,156,"12,820,000.00","12,648,769.00"
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,469,Munshiganj,76,76,"7,505,000.00","7,440,842.00"
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,514,Madanpur,142,142,"13,020,000.00","12,901,650.00"
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,527,Sirajdikhan,87,87,"10,640,000.00","10,607,701.00"
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,529,Bondor,171,171,"15,690,000.00","15,564,123.00"
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,860,Ruhitpur,44,44,"5,005,000.00","4,980,001.00"
OP Domain Dhaka,Dhaka Zone,Kalshi Region,190,Abdullahpur,104,104,"14,485,000.00","14,365,875.00"
OP Domain Dhaka,Dhaka Zone,Kalyanpur Region,472,Gabtoli-2,160,160,"14,315,000.00","14,143,720.00"
OP Domain Dhaka,Dhaka Zone,Kalyanpur Region,482,Hemayetpur,90,90,"8,625,000.00","8,590,765.00"
OP Domain Dhaka,Dhaka Zone,Kalyanpur Region,1014,Ahammed Nogor,114,114,"8,800,000.00","8,706,089.00"
OP Domain Dhaka,Dhaka Zone,Cheragali Region,1015,Sainboard,134,134,"10,610,000.00","10,548,723.00"
OP Domain Dhaka,Dhaka Zone,Kalshi Region,1016,Pallabi,108,108,"10,160,000.00","10,052,154.00"
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,172,Zirabo,75,75,"8,370,000.00","8,342,567.00"
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,173,Mouchak,104,104,"8,810,000.00","8,736,509.00"
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,280,Ziranee,190,190,"12,305,000.00","12,212,990.00"
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,281,Kashimpur,91,91,"8,725,000.00","8,702,767.00"
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,465,Savar,117,117,"13,050,000.00","12,919,737.00"
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,522,Dhamrai,78,78,"9,029,000.00","8,989,507.00"
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,539,Ashulia,77,77,"9,820,000.00","9,804,623.00"
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,649,Bolivodro,130,130,"9,265,000.00","9,187,134.00"
OP Domain Dhaka,Dhamrai Zone,Ghior Region,669,Nagorpur,38,38,"4,405,000.00","4,393,718.00"
OP Domain Dhaka,Dhamrai Zone,Ghior Region,684,Ghior,61,61,"5,230,000.00","5,204,704.00"
OP Domain Dhaka,Dhamrai Zone,Ghior Region,689,Daulatpur-3,44,44,"3,270,000.00","3,236,264.00"
OP Domain Dhaka,Dhamrai Zone,Ghior Region,692,Jhitka,52,52,"4,510,000.00","4,468,675.00"
OP Domain Dhaka,Dhamrai Zone,Ghior Region,697,Manikgonj,59,59,"4,750,000.00","4,720,245.00"
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,698,Singair,48,48,"4,700,000.00","4,679,432.00"
OP Domain Dhaka,Dhamrai Zone,Ghior Region,788,Tepra,71,71,"6,590,000.00","6,552,391.00"
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,865,Saturia,35,35,"2,925,000.00","2,895,088.00"
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,1020,Polly Bidutt,58,58,"7,550,000.00","7,528,319.00"
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,1021,Barenda,81,81,"7,285,000.00","7,252,146.00"
OP Domain Dhaka,Narayanganj Zone,Modonpur-1 Region,283,Tarabo,204,204,"14,850,000.00","14,642,356.00"
OP Domain Dhaka,Narayanganj Zone,Modonpur-1 Region,1012,Sahebpara,143,143,"8,490,000.00","8,360,359.00"
OP Domain Dhaka,Narayanganj Zone,Narayanganj Region,1013,Matuyal,150,150,"11,025,000.00","10,854,576.00"
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,178,HASNABAD,81,81,"8,850,000.00","8,812,524.00"
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,180,Narsingdi-1,112,112,"10,500,000.00","10,353,434.00"
OP Domain Dhaka,Narsingdi Zone,Belabo Region,195,Shibpur-2,142,142,"11,510,000.00","11,390,094.00"
OP Domain Dhaka,Narsingdi Zone,Belabo Region,196,MONOHARDI,135,135,"12,440,000.00","12,370,015.00"
OP Domain Dhaka,Narsingdi Zone,Belabo Region,197,POLASH,110,110,"10,170,000.00","10,084,608.00"
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,282,MADHOBDI,179,179,"15,370,000.00","15,120,669.00"
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,289,GHORADIA,167,167,"16,220,000.00","16,042,567.00"
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,348,RUPGANJ,209,209,"19,970,000.00","19,740,581.00"
OP Domain Dhaka,Narsingdi Zone,Belabo Region,379,BELABO,130,130,"11,574,000.00","11,494,568.00"
OP Domain Dhaka,Narsingdi Zone,Belabo Region,380,NARAYANPUR,113,113,"10,800,000.00","10,708,413.00"
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,475,Narsingdi-2,111,111,"11,750,000.00","11,627,758.00"
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,516,ARAIHAZAR,156,156,"13,350,000.00","13,268,476.00"
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,550,GOPALDI,144,144,"13,645,000.00","13,477,629.00"
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,696,Raypura,84,84,"11,285,000.00","11,256,241.00"
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,706,Bashgari,105,105,"13,950,000.00","13,862,321.00"
OP Domain Dhaka,Narsingdi Zone,Belabo Region,713,Kalikapur,123,123,"16,100,000.00","16,027,948.00"
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,727,Shreenagor,130,130,"14,570,000.00","14,513,365.00"
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,1017,Panchdona,119,119,"10,075,000.00","9,949,255.00"
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,1018,Hasnabat South,90,90,"9,470,000.00","9,426,205.00"
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,1019,Velanagar,97,97,"9,920,000.00","9,851,902.00"
OP Domain Dinajpur,Dinajpur Zone,Fulbari-2 Region,61,Birampur,182,182,"9,604,000.00","9,513,559.00"
OP Domain Dinajpur,Dinajpur Zone,Fulbari-2 Region,75,Fulbari-1,186,186,"10,372,000.00","10,231,320.00"
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,85,Ambari-1,152,152,"8,627,000.00","8,574,233.00"
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,127,Dinajpur-1,262,262,"14,760,000.00","14,541,006.00"
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,129,Shikdarhat,175,175,"10,531,000.00","10,402,065.00"
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,222,Chirirbandar,188,188,"9,953,000.00","9,875,767.00"
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,375,Dinajpur-2,83,83,"12,060,000.00","12,056,461.00"
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,436,Mongolpur,186,186,"10,451,000.00","10,322,931.00"
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,439,Birol,168,168,"8,822,000.00","8,733,170.00"
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,440,Ranigonj-2,192,192,"13,015,000.00","12,914,113.00"
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,442,Kaugaon,319,319,"14,094,000.00","14,054,190.00"
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,455,Kamolpur,415,415,"20,753,000.00","20,685,416.00"
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,456,Panchbari,200,200,"11,572,000.00","11,354,304.00"
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,499,Dosmail-2,177,177,"11,121,000.00","10,988,505.00"
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,608,Ramshagor,334,334,"16,369,000.00","16,245,995.00"
OP Domain Dinajpur,Dinajpur Zone,Fulbari-2 Region,919,Birampur Branch,92,92,"6,890,000.00","6,816,878.00"
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,925,Dinajpur Branch,91,91,"7,565,000.00","7,483,696.00"
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,930,Chirirbandar Branch,98,98,"9,790,000.00","9,715,001.00"
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,931,Basherhat Branch,82,82,"7,345,000.00","7,258,717.00"
OP Domain Dinajpur,Dinajpur Zone,Fulbari Region,944,Fulbari Branch,93,93,"7,437,000.00","7,393,485.00"
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,976,Ambari-3,147,147,"8,742,000.00","8,695,142.00"
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,977,Birol-2,172,172,"8,919,000.00","8,844,714.00"
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,996,Chirirbandar-2,177,177,"10,628,000.00","10,527,181.00"
OP Domain Dinajpur,Dinajpur Zone,Fulbari-2 Region,997,Madilahat,88,88,"4,415,000.00","4,367,437.00"
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,253,Domer,161,161,"8,796,000.00","8,673,157.00"
OP Domain Dinajpur,Panchogor Zone,Boda Region,291,Boda,178,178,"10,514,000.00","10,322,176.00"
OP Domain Dinajpur,Panchogor Zone,Boda Region,294,Ruhia,169,169,"10,013,000.00","9,858,951.00"
OP Domain Dinajpur,Panchogor Zone,Boda Region,302,Panchagarh-1,205,205,"12,872,000.00","12,679,413.00"
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,372,Zagdal,143,143,"8,740,000.00","8,639,652.00"
OP Domain Dinajpur,Panchogor Zone,Boda Region,373,Vulli,214,214,"13,554,000.00","13,338,498.00"
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,389,Panchagarh-2,110,110,"9,757,000.00","9,671,495.00"
OP Domain Dinajpur,Panchogor Zone,Boda Region,430,Mirzapur-2,205,205,"10,312,000.00","10,150,588.00"
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,431,Salbahan,216,216,"11,974,000.00","11,754,136.00"
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,432,Tunirhat,172,172,"10,743,000.00","10,610,590.00"
OP Domain Dinajpur,Panchogor Zone,Boda Region,434,Atwari,167,167,"9,365,000.00","9,244,327.00"
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,444,Debiganj,175,175,"10,126,000.00","9,960,033.00"
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,445,Sonahar,216,216,"13,870,000.00","13,649,284.00"
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,446,Kaliganj-5,184,184,"9,117,000.00","8,979,165.00"
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,457,Panchpir-2,195,195,"10,572,000.00","10,403,394.00"
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,975,Zagdal-2,106,106,"6,779,000.00","6,688,870.00"
OP Domain Dinajpur,Syedpur Zone,Bodorgonj Region,66,Paglapir,146,146,"9,015,000.00","8,871,968.00"
OP Domain Dinajpur,Syedpur Zone,Bodorgonj Region,88,Parbatipur,183,182,"11,505,000.00","11,308,886.00"
OP Domain Dinajpur,Syedpur Zone,Nilfamari Region,120,Nilphamari,147,147,"8,810,000.00","8,697,392.00"
OP Domain Dinajpur,Syedpur Zone,Syedpur Region,121,Saidpur-1,123,123,"8,020,000.00","7,905,620.00"
OP Domain Dinajpur,Syedpur Zone,Syedpur Region,153,Saidpur-2,195,195,"14,038,000.00","13,866,494.00"
OP Domain Dinajpur,Syedpur Zone,Ranirbandar Region,212,Ranirbandar,212,212,"11,855,000.00","11,688,753.00"
