Domain,Zone,Region,Branch_Name,Branch_Code,New_Member_Admission_August_2025,Member_Cancellation_August_2025,Borrower_August_2025,Fully_Paid_Borrower_August_2025,Reg_Loan_Recoverable_August_2025,Recovered_Regular_August_2025,Recovered_Due_August_2025,New_Due_Amount_August_2025,August_2025_Total Due,August_2025_Total_Due_Loanee,As_on_August_2025_Bad Loan_365,As_on_August_2025_Overdue_Loan_Outstanding,As_on_August_2025_Overdue_Loan_Outstanding,As on August_2025 Cummulative Loan Disbursement,As_on_August_2025_Cummulative_Loan_Collection
OP Domain Bogra,Joypurhat Zone,Kalai Region,Kalai,13,69,54,237,222,8947444,8611091,72861,336353,8874480,874,5988746,9954366,9954366,312147000,295895721
OP Domain Bogra,Bogra North Zone,Mohasthan Region,Pirgachha-1,14,135,134,278,267,12164406,11468116,151957,696290,15913127,1300,9137729,18942365,18942365,397231000,390688546
OP Domain Bogra,Bogra Central Zone,Banani Region,Ashekpur,15,24,84,55,112,7989963,6823405,72519,1166558,12151881,843,6607898,20365187,20365187,303085000,364644574
OP Domain Bogra,Bogra South Zone,Gohail Region,Nandigram,16,59,54,129,116,5609429,5262638,131165,346791,9275403,1026,5921957,10535790,10535790,183457000,189107328
OP Domain Bogra,Bogra North Zone,Gabtoli Region,Gabtoli-1,17,145,132,257,249,14398687,13731801,185200,666886,9648307,976,4946233,12596123,12596123,439206000,430930352
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,Sherpur-1,18,158,122,288,234,17036982,15884929,223214,1152052,25382975,1685,15108950,29993898,29993898,486564000,445837297
OP Domain Bogra,Bogra Central Zone,Banani Region,Majhira,19,65,62,104,103,7649239,7106107,101663,543131,13672896,1154,9644315,16429141,16429141,227822000,224206422
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Adomdighi,20,78,69,151,133,8441517,7975283,161370,466234,12375351,1071,8450093,14923000,14923000,264155000,263196183
OP Domain Bogra,Bogra North Zone,Sibganj Region,Namuja,21,78,71,130,127,7854620,7382161,47508,472459,11352892,1038,4326367,12989646,12989646,253365000,251686357
OP Domain Bogra,Bogra North Zone,Sibganj Region,Shibganj-1,22,77,62,148,128,8341473,7523979,175190,817494,29397590,2048,12575001,32594997,32594997,303757000,302085433
OP Domain Bogra,Bogra North Zone,Mohasthan Region,Gokul,23,84,83,186,178,10312708,9734716,120338,577992,5625999,510,2441339,10740285,10740285,370555000,349459694
OP Domain Bogra,Bogra North Zone,Baluahat Region,Gangnagor,24,98,88,180,168,11508477,11070213,102602,438264,10121042,958,6304577,12127306,12127306,334635000,322645368
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Panchpir-1,25,71,60,162,142,10897318,10495613,48299,401706,7394638,823,4707205,9277755,9277755,291857000,276650813
OP Domain Bogra,Bogra North Zone,Gabtoli Region,Golabari,26,94,95,183,188,8540527,8328819,120107,211708,5469053,643,3531383,6358825,6358825,263782000,259965315
OP Domain Bogra,Bogra North Zone,Gabtoli Region,Shukhanpukur,27,99,87,187,184,10641911,10086264,224450,555646,11608247,1148,5347016,13937498,13937498,351213000,342776966
OP Domain Bogra,Joypurhat Zone,Kalai Region,Khetlal,28,73,79,190,186,7158630,6681754,109675,476876,9862613,1007,5639139,11362291,11362291,294886000,291397380
OP Domain Bogra,Bogra North Zone,Sibganj Region,Daridaho,29,89,79,171,168,9204994,8654061,102981,550933,12234511,1015,7459672,14654755,14654755,274582000,265170162
