Domain,Zone,Region,Branch_Name,Branch_Code,New_Member_Admission_August_2025,Member_Cancellation_August_2025,Borrower_August_2025,Fully_Paid_Borrower_August_2025,Reg_Loan_Recoverable_August_2025,Recovered_Regular_August_2025,Recovered_Due_August_2025,New_Due_Amount_August_2025,August_2025_Total Due,August_2025_Total_Due_Loanee,As_on_August_2025_Bad Loan_365,As_on_August_2025_Overdue_Loan_Outstanding,As_on_August_2025_Overdue_Loan_Outstanding,As on August_2025 Cummulative Loan Disbursement,As_on_August_2025_Cummulative_Loan_Collection
OP Domain Mymensingh,Tangail Zone,Mirzapur Region,MIRZAPUR-1,154,70,84,116,127,6976911,6476973,29614,499938,8464538,714,4809082,9697941,9697941,219324000,206021717
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,Khilgaon,155,140,119,173,154,11324026,10874057,37902,449969,8622634,964,5600214,10322764,10322764,292261000,262946844
OP Domain Natore,Pabna Zone,Iswardi Region,Natunhat,156,66,55,139,125,7712618,7383831,96835,328787,11975777,1005,9329518,13785240,13785240,219506000,204441007
OP Domain Natore,Puthia Zone,Taherpur Region,Mohonganj,157,74,74,139,117,9280858,8387510,70379,893348,16157194,1302,11800985,20761597,20761597,257050000,237971032
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,BADDA,158,110,94,140,123,10487459,10035045,45429,452414,13257216,1006,8375620,15881736,15881736,292281000,269342369
OP Domain Mymensingh,Tangail Zone,Tangail Region,TANGAIL,159,54,48,73,77,4839336,4415061,129859,424275,7468678,730,4140581,9142453,9142453,139905000,135086561
OP Domain Rangpur,Lalmonirhat Zone,Hatibandha Region,Hatibandha-1,160,59,44,121,107,7491777,6994957,73699,496820,10181097,1046,6132184,11787546,11787546,205526000,195934472
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Sukurarhat,161,120,101,182,160,7951906,7728948,43263,222959,3402829,476,2116349,4236308,4236308,213823000,193902672
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Boiratihat,162,91,79,158,149,8208438,7935533,88904,272905,4842029,518,2626327,6174933,6174933,247926000,233707663
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,Begumganj,163,65,63,108,107,11598382,11410552,66600,187830,1983836,203,559395,2804553,2804553,345592000,325619002
OP Domain Chittagaon,Chittagong North Zone,Kumira Region,Faujdarhat,164,67,58,98,96,6845359,6504852,40863,340507,6525591,620,4249184,8016567,8016567,178699000,164516305
OP Domain Chittagaon,Chittagong South Zone,Ranguniea Region,Ranirhat,165,60,48,94,86,8865050,8683202,24154,181847,7665421,646,5228563,8749449,8749449,234747000,219101494
OP Domain Chittagaon,Satkania Zone,Anowara Region,Patiya-1,166,71,61,134,124,10267750,9857961,58092,409788,10323578,995,6837942,11938637,11938637,276416000,266147968
OP Domain Mymensingh,Tangail Zone,Mirzapur Region,Pakulla,167,49,53,85,96,7017004,6739303,75613,277701,7851207,597,5597990,9429460,9429460,190955000,178071629
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,Demra-1,168,140,132,168,142,9275689,9050733,5634,224957,3322262,336,1504759,4071890,4071890,319935000,332491155
OP Domain Natore,Natore Zone,Natore Region,Natore-1,169,37,33,63,65,7055180,6853152,36264,202028,6039935,300,5047029,7020572,7020572,186962000,170609564
OP Domain Comilla,Comilla Zone,Choddogram Region,Chauddagram,170,54,53,99,96,11638034,11179203,96713,458832,10693796,610,5419648,13159439,13159439,322674000,317973422
OP Domain Chittagaon,Satkania Zone,Satkania Region,Chandanaish,171,50,50,71,90,7017960,6605830,61081,412130,11248013,1063,6734754,14157986,14157986,202581000,191421893
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,Zirabo,172,50,31,64,46,7129000,6593189,125784,535811,8398807,358,5854665,10918115,10918115,212943000,244472496
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,Mouchak,173,47,76,70,104,7106086,6548388,22613,557698,10032706,900,6833907,12185712,12185712,197792000,191069079
OP Domain Bogra,Bogra Central Zone,Bogura Town Region,Bogura Town,174,57,38,81,74,14969970,14193638,191640,776332,17434712,774,12412394,22682019,22682019,469332000,432829726
OP Domain Chittagaon,Chittagong North Zone,Mirasorai Region,Mirsarai,175,39,32,93,94,7368554,7013459,71289,355095,9640344,742,5693569,11003947,11003947,203564000,190640439
OP Domain Chittagaon,Satkania Zone,Anowara Region,Boalkhali,176,59,49,95,89,6253420,6073050,38138,180370,8495943,720,6429751,9188650,9188650,169789000,156943556
OP Domain Sylhet,Sylhet Zone,Khadimnagar Region,Beanibazar-1,177,73,76,150,148,10021619,9699645,76752,321974,4459878,535,2534074,6354239,6354239,280032000,270580677
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,HASNABAD,178,65,64,74,91,7569327,7270017,39044,299311,7133274,548,5325018,8470088,8470088,278920000,320088725
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,Kaliganj-1,179,49,42,100,94,7667437,7343389,114435,324047,8880339,668,5714209,10407816,10407816,215010000,193093651
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,Narsingdi-1,180,65,60,126,118,8524815,8374229,70071,150585,5093471,374,3465666,5882482,5882482,296021000,328482110
OP Domain Sylhet,Sylhet Zone,Sylhet Region,Sylhet Sadar,181,70,59,153,142,10000178,9795767,12167,204411,5425686,688,3713584,6459039,6459039,278662000,273616128
OP Domain Sylhet,Sylhet Zone,Biswanath Region,Biswanath,182,51,51,95,94,7165907,6861346,35898,304561,5647453,592,3288719,7004281,7004281,263802000,299709757
OP Domain Sylhet,Sylhet Zone,Biswanath Region,Balaganj,183,64,55,119,111,9328677,9071326,95714,257351,6550026,721,4641700,7512395,7512395,251545000,241875400
OP Domain Sylhet,Beanibazar Zone,Gowainghat Region,Kanaighat-1,184,71,60,117,117,9928505,9542978,61606,385527,4463878,602,2556769,6087192,6087192,264690000,256050315
OP Domain Sylhet,Sylhet Zone,Khadimnagar Region,Golapganj,185,59,59,142,133,11452892,10894534,165636,558357,6818071,703,2650422,8861508,8861508,328515000,316088601
OP Domain Sylhet,Beanibazar Zone,Beanibazar Region,Zakiganj-1,186,66,64,130,124,9767898,9738036,46467,29862,1582500,218,1304755,1799577,1799577,264873000,254963518
OP Domain Sylhet,Moulvibazar Zone,Moulvibazar Region,Moulvibazar Kamalpur,187,62,52,132,110,10359093,10116359,139502,242734,4967436,525,3333883,6311086,6311086,288745000,281789089
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,Fotullah,188,169,143,194,145,11034172,10584115,64608,450056,21519502,1614,14118430,23121162,23121162,304960000,277320922
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Kakonhat,189,145,116,251,221,10085861,9935432,77857,150430,7167913,722,5233101,7637880,7637880,315487000,302474838
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,Abdullahpur,190,54,78,106,122,11511785,10408387,39998,1103398,21897351,1496,13031676,25399208,25399208,296629000,267711869
OP Domain Mymensingh,Tangail Zone,Ghatail Region,MODHUPUR,191,67,56,110,97,7708840,7358492,152294,350349,7614766,686,4483231,8966743,8966743,217967000,210221281
OP Domain Mymensingh,Tangail Zone,Ghatail Region,GHATAIL,192,61,55,98,93,8506664,8002502,62539,504162,10341870,698,5909686,12523426,12523426,235723000,218624824
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,Narayanganj-1,193,97,70,113,95,6461180,6171057,82400,290123,5007027,345,2493303,5961288,5961288,242488000,257513743
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,Sonargaon,194,139,89,167,129,9920836,9370366,34037,550471,11914317,956,7512237,13943986,13943986,254171000,226221750
OP Domain Dhaka,Narsingdi Zone,Belabo Region,Shibpur-2,195,82,74,120,112,9506634,9085124,108896,421510,12553341,904,8626275,14259952,14259952,258259000,238429841
OP Domain Dhaka,Narsingdi Zone,Belabo Region,MONOHARDI,196,83,78,134,125,10888494,10386213,226181,502280,13451026,1022,8342101,15370935,15370935,300030000,273871921
OP Domain Dhaka,Narsingdi Zone,Belabo Region,POLASH,197,56,55,103,99,8225864,7963360,60241,262504,6032254,470,3659329,7178891,7178891,222258000,204693132
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,Haziganj-1,198,124,103,190,158,11863644,11200874,35002,662770,8802251,875,4522803,11677386,11677386,329765000,294106573
OP Domain Sylhet,Sylhet Zone,Khadimnagar Region,Khadimnagar,199,86,95,168,164,12082306,11708153,112251,374153,11219965,1193,7004688,13066374,13066374,339581000,330484766
OP Domain Sylhet,Beanibazar Zone,Gowainghat Region,Jaintapur-1,200,86,75,203,184,12065594,11812381,76898,253213,4932910,597,3038657,6112243,6112243,321478000,315403308
OP Domain Sylhet,Moulvibazar Zone,Auskandi Region,Aushkandi,201,60,48,111,90,9299159,9187501,30000,111658,2495366,271,1570598,3071040,3071040,260139000,244193696
OP Domain Bogra,Bogra South Zone,Dhunat Region,Kutubpur,202,83,70,124,116,5356794,5107683,158538,249111,12703352,1215,9887927,13856420,13856420,177531000,171947838
OP Domain Sylhet,Hobigonj Zone,Hobigonj Region,Sayestaganj,203,48,40,110,106,8766801,8565258,61240,201543,4125890,462,2676729,5097159,5097159,238875000,226580691
OP Domain Rajshahi,Chapainobabgonj Zone,Gomastapur Region,Shonaichandi,204,69,49,140,130,6780257,6290327,26179,489930,3295114,324,1263068,4163957,4163957,282666000,305387077
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,TANOR,205,113,109,224,218,10394598,9739819,103773,654779,8138763,814,4005957,10875083,10875083,332738000,315325281
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,PANCHLIA,206,63,59,124,123,6632351,6377923,50955,254428,6675359,748,4592464,7624847,7624847,176582000,164884979
OP Domain Sylhet,Moulvibazar Zone,Komolganj Region,Sreemangal-1,207,59,46,109,107,9948018,9592966,69613,355052,6232521,504,3610560,8416632,8416632,259864000,244550230
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Naldanga-2,208,73,67,147,122,8582073,8256323,65229,325750,10224474,811,7943947,11905737,11905737,233163000,220916242
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,Sherpur-2,209,69,50,100,86,12723225,11965427,189922,757797,22597098,1046,16564534,28157611,28157611,366198000,354585669
OP Domain Bogra,Bogra North Zone,Mohasthan Region,Mohasthan-2,210,41,32,66,60,6860018,6121270,176630,738748,17728541,977,12770334,21516014,21516014,217141000,223171632
OP Domain Sylhet,Hobigonj Zone,Madhobpur Region,Madhobpur,211,46,33,100,84,7966923,7638661,105098,328262,10702056,853,7406030,11970174,11970174,221858000,213480070
OP Domain Dinajpur,Syedpur Zone,Ranirbandar Region,Ranirbandar,212,114,91,204,193,9633815,9186532,60548,447283,12480815,1228,9184993,13949429,13949429,258523000,247219227
OP Domain Dinajpur,Syedpur Zone,Ranirbandar Region,Pakerhat,213,137,130,256,244,12533791,12115768,33190,418023,7824467,869,4706812,9371449,9371449,341073000,322732452
OP Domain Comilla,Comilla Zone,Choddogram Region,LAKSHAM,214,35,49,89,100,8728085,8371352,67910,356733,9681083,607,5924553,11013294,11013294,242525000,249157484
OP Domain Comilla,Chandpur Zone,Foridjonj Region,Ramganj-1,215,67,66,142,126,11666866,11404142,22660,262723,6844158,583,4207937,8427780,8427780,311817000,290491778
OP Domain Rajshahi,Rajshahi Zone,Coart Region,Laxmipur-1,216,30,17,42,37,5238319,4871865,72540,366454,9842493,466,6942135,12058116,12058116,150864000,140809218
OP Domain Comilla,Comilla Zone,Chandina Region,CHANDINA,217,41,32,80,64,8194962,7836202,202853,358760,16948591,823,10522710,18505359,18505359,240899000,234326915
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,Shenbag,218,63,56,97,80,7155385,6781360,46214,374025,6792573,541,2982360,8406961,8406961,193370000,176704109
OP Domain Comilla,Comilla Zone,Comilla Region,Comilla-1,219,65,64,127,110,15213721,14516279,127724,697442,18229549,983,12219977,22293724,22293724,429995000,396166189
OP Domain Chittagaon,Noakhali Zone,Begumganj Region,Chandraganj,220,48,39,77,64,9078847,8918724,161177,160123,9743797,587,5702436,10522718,10522718,288041000,293470399
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,Chatkhil,221,63,46,80,81,8990244,8642985,10859,347259,5336471,504,2744165,6969709,6969709,239747000,220691604
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,Chirirbandar,222,85,66,155,140,7114523,6857885,38999,256638,4464621,357,2142841,5537015,5537015,298227000,332111366
OP Domain Dinajpur,Thakurgaon Zone,Birgonj Region,Kobirajhat,223,95,67,182,157,7915060,7578021,32888,337039,6480255,756,4111113,7716520,7716520,263025000,282676853
OP Domain Rangpur,Lalmonirhat Zone,Kaliganj Region 2,Kaliganj-2,224,77,60,163,129,6733833,6595317,38072,138516,4622551,452,3484166,5033326,5033326,241945000,281702472
OP Domain Rangpur,Lalmonirhat Zone,Lalmonirhat Region,Aditmari,225,84,72,185,162,9410870,9065323,63933,345547,8554166,1021,5893047,9945639,9945639,247918000,233168087
OP Domain Comilla,Chandpur Zone,Foridjonj Region,Faridganj-1,226,51,47,84,76,8121023,7868640,84227,252383,5328353,395,2360731,6721891,6721891,226841000,216625554
OP Domain Rangpur,Lalmonirhat Zone,Hatibandha Region,Patgram,227,156,137,296,258,13343351,12991878,108582,351474,9525308,1017,6908026,10876996,10876996,368606000,358707607
OP Domain Rangpur,Kurigram Zone,Nageshori Region,Nageswari,228,103,86,218,192,12580950,12272575,145564,308375,6734916,664,4820365,7818377,7818377,323780000,300669152
OP Domain Rangpur,Kurigram Zone,Ulipur Region,Rajarhat,229,83,65,186,166,10091103,9680458,63495,410645,16079276,1452,12428509,17344835,17344835,275482000,258813880
OP Domain Rangpur,Lalmonirhat Zone,Kaliganj Region 2,Chaparhat,230,103,95,251,226,12918614,12695690,28695,222924,4651079,549,3121443,5844797,5844797,338178000,320640723
OP Domain Rajshahi,Najipur Zone,Sapahar Region,Sapahar,231,84,86,251,295,9833372,9676279,49138,157093,3864774,275,2032620,4212259,4212259,375961000,408792294
OP Domain Rajshahi,Najipur Zone,Sapahar Region,Ashranda,232,169,143,417,416,15372660,15372660,628,0,445917,34,327859,445917,445917,402406000,368650533
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,ENAYETPUR,233,58,48,104,97,5790930,5565643,42942,225287,7090929,706,4890975,8193436,8193436,167388000,161032590
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Bamondanga,234,72,65,191,175,12913752,12562298,79787,351454,10190944,792,7415736,11717390,11717390,353512000,338939622
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,DAUKANDI,235,108,74,139,109,7652838,7064633,202784,588205,8076424,844,5069201,11986315,11986315,209365000,199826493
OP Domain Rangpur,Lalmonirhat Zone,Lalmonirhat Region,Fulbari-2,236,113,92,275,241,13553146,13171211,43433,381935,7112418,722,4288433,8775422,8775422,369174000,347706081
OP Domain Rangpur,Kurigram Zone,Bhurungamari Region,Bhurungamari,237,76,73,151,137,9718718,9407598,97791,311120,10427623,1145,7841435,11808513,11808513,258087000,245105460
OP Domain Natore,Puthia Zone,Charghat Region,Nandangachhi,238,80,63,161,155,7513742,7304029,59276,209713,6694520,663,4414620,7546621,7546621,222413000,210173963
OP Domain Rangpur,Gaibandha Zone,Gaibandha Region,Dariapur,239,91,79,210,193,11731374,11472927,65719,258447,7114546,627,5031678,8167240,8167240,312679000,296774592
OP Domain Rangpur,Polashbari Zone,Ghoraghat Region,Ranigonj-1,240,65,65,138,134,6776593,6420643,49799,355950,8630541,1045,5782309,9948291,9948291,196284000,187374671
OP Domain Rangpur,Rangpur Zone,Damurchakla Region,Pirgachha-2,241,70,40,123,105,7701657,7332338,99031,369319,9736822,899,7086315,11393058,11393058,204226000,192344395
OP Domain Rangpur,Rangpur Zone,Damurchakla Region,Chowdhurani,242,55,41,107,103,7465174,7297485,63900,167689,7364288,613,5600391,8211828,8211828,193379000,177338230
OP Domain Natore,Chatmohor Zone,Bonpara Region,Bonpara-2,243,51,23,39,30,3398059,3126391,58357,271667,10086854,613,7793365,11136437,11136437,97800000,94856334
OP Domain Rangpur,Polashbari Zone,Polashbari Region,Komorpur,244,73,49,157,150,8095632,7837228,22419,258404,10141598,894,7807892,11278792,11278792,208268000,198017549
OP Domain Rangpur,Kurigram Zone,Bhurungamari Region,Rayganj,245,63,55,122,105,8099245,7929991,47140,169254,5485234,488,3750078,6336946,6336946,211764000,198489757
OP Domain Rangpur,Lalmonirhat Zone,Kaliganj Region 2,Bhotmari,246,83,71,198,173,9747494,9412942,136678,334552,10470657,998,8050112,11445005,11445005,264364000,253633519
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,Keraniganj,247,122,106,114,96,6736406,6553834,37614,182572,7869806,816,6551318,8706950,8706950,184330000,173318981
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,Kamrangirchar,248,171,153,196,179,12755714,12119370,58235,636344,10947639,1346,3385685,13206819,13206819,342755000,308198306
OP Domain Rangpur,Lalmonirhat Zone,Hatibandha Region,Doikhawa,249,104,96,177,158,8217285,7960914,136082,256371,8436111,940,6081254,9564003,9564003,228423000,224258583
OP Domain Rangpur,Kurigram Zone,Nageshori Region,Vitarbond-1,250,75,57,151,139,9510150,9182729,33286,327421,4416398,437,2448547,5734725,5734725,338758000,376285514
OP Domain Rajshahi,Najipur Zone,Sapahar Region,Shoraigachhi,251,130,122,240,251,9010313,8759312,48851,251001,6752106,608,3284978,7688195,7688195,303986000,299007436
OP Domain Natore,Pabna Zone,Iswardi Region,Iswardi-1,252,72,66,130,122,7446430,7149535,82293,296894,7652725,894,5089155,9355500,9355500,217487000,212170694
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,Domer,253,72,71,159,167,8169403,7860733,36970,308671,8616725,1020,6440823,9846118,9846118,221365000,210240321
OP Domain Bogra,Bogra North Zone,Baluahat Region,Mohimagonj,254,100,100,192,188,11037134,10409636,137150,627497,11182398,1164,6843485,14888112,14888112,310832000,294200294
OP Domain Rangpur,Kurigram Zone,Bhurungamari Region,Kasimbazar,255,98,69,180,168,10639622,10352198,100188,287424,9209169,1031,6227644,10046572,10046572,297161000,290071964
OP Domain Bogra,Joypurhat Zone,Kalai Region,Punat,256,103,86,201,181,8253910,8039906,92657,214003,6084660,624,3955252,7016037,7016037,269326000,254949666
OP Domain Rangpur,Kurigram Zone,Bhurungamari Region,Ramkhana,257,60,58,139,123,8513360,8074136,75495,439224,10660686,895,5869354,12005826,12005826,251942000,241196908
OP Domain Sylhet,Moulvibazar Zone,Moulvibazar Region,Rajnagar-1,258,64,68,125,132,13727708,13390595,89828,337113,6400747,581,3175141,8202457,8202457,371493000,345573285
OP Domain Sylhet,Moulvibazar Zone,Komolganj Region,Komolganj-1,259,67,62,147,110,10889646,10566340,79035,323306,3944499,488,1292434,5471559,5471559,288252000,265725312
OP Domain Sylhet,Moulvibazar Zone,Moulvibazar Region,Sherpur-3,260,78,53,133,97,9515421,9304303,49146,211118,3329043,330,1930361,4299637,4299637,254673000,239757005
OP Domain Sylhet,Hobigonj Zone,Hobigonj Region,Bahubal-1,261,68,51,92,78,7379851,7184456,39922,195395,3291364,342,1479288,3922559,3922559,250577000,277395462
OP Domain Rangpur,Kurigram Zone,Kurigram Region,Pateswari,262,74,75,185,179,9580605,8788660,106599,791944,18527141,1844,11155387,21174396,21174396,275901000,265589669
OP Domain Rajshahi,Naogaon Zone,Manda Region,Boiddapur,263,141,128,189,171,8409788,8054696,65059,355092,5559411,596,2514745,6990837,6990837,252433000,243105258
OP Domain Rajshahi,Naogaon Zone,Manda Region,Sabaihat,264,110,91,198,198,8199320,7647029,53266,552291,8388865,823,3918749,10955140,10955140,256940000,252578337
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,MOCHMOIL,265,71,73,141,147,7862496,7385795,38908,476701,7850277,705,3380307,9891204,9891204,256154000,242457366
OP Domain Dinajpur,Syedpur Zone,Nilfamari Region,Jaldhaka,266,97,88,205,196,11762284,11131036,92747,631247,8013725,1053,5095842,10761519,10761519,312358000,299536478
OP Domain Rangpur,Rangpur Zone,Modern Region,DHAP,267,81,55,198,174,10027994,9500928,86047,527066,14744975,1372,9912459,16729292,16729292,275989000,270507593
OP Domain Rangpur,Kurigram Zone,Ulipur Region,Nazimkha,268,92,69,162,148,8156695,7914066,68274,242629,7504694,878,5439581,8590218,8590218,216464000,202346857
OP Domain Rangpur,Kurigram Zone,Ulipur Region,Ulipur,269,110,98,224,197,11595523,11224167,43120,371356,12025955,1203,9157727,13767893,13767893,301144000,286353318
OP Domain Bogra,Joypurhat Zone,Kalai Region,Molamgari,270,113,105,294,285,12917932,12630380,63877,287553,4238126,437,2507380,5206153,5206153,380801000,360103533
OP Domain Rangpur,Lalmonirhat Zone,Hatibandha Region,Hatibandha-2,271,80,62,186,147,9686781,9305684,48716,381098,9469388,878,6471497,11156607,11156607,270005000,257349858
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Shovaganj,272,61,47,140,122,8622595,8415390,50537,207205,4503317,368,2917992,5585503,5585503,280194000,306955495
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Volahat,273,142,134,270,281,9273929,9151901,95467,122028,3948355,352,3098654,4596091,4596091,269595000,252270454
OP Domain Rangpur,Rangpur Zone,Modern Region,PAIRABAND,274,120,89,247,222,13358455,12723141,17862,635314,11226244,1014,6152516,13383153,13383153,368431000,339672515
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,KAMARKHANDA,275,57,57,121,125,7101526,6768895,59816,332631,8466857,822,5643619,10293507,10293507,204493000,202104071
OP Domain Mymensingh,Gazipur Zone,Sreepur Region,Sreepur-1,276,66,51,106,91,8641438,8371115,31359,270323,8638499,550,6843505,10058969,10058969,216151000,192525868
OP Domain Mymensingh,Gazipur Zone,Sreepur Region,Bhawal Mirzapur,277,76,55,118,97,11449314,11067697,385438,381617,11756336,696,9502345,15110492,15110492,269511000,255390660
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,Pagla Bazar,278,141,149,171,179,9918583,9565451,32220,353131,9876912,1086,6408221,11018937,11018937,297403000,276386303
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,Board bazar,279,81,50,116,93,9474853,8966635,35510,508218,9858762,657,6411185,11951451,11951451,290666000,301358668
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,Ziranee,280,104,97,160,167,8859655,8476514,78135,383142,10749795,890,8225068,12137460,12137460,266789000,255836129
OP Domain Dhaka,Dhamrai Zone,Kashimpur Region,Kashimpur,281,60,63,92,91,7423644,6987795,26894,435849,6383926,390,3322317,7721747,7721747,245000000,263734148
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,MADHOBDI,282,99,109,152,152,12145452,11673697,173754,471756,16056963,1296,11981803,17879641,17879641,303878000,276901871
OP Domain Dhaka,Dhaka South Zone,Modonpur-1 Region,Tarabo,283,132,80,185,126,11113471,10511010,59220,602461,12081587,1152,6321491,14300801,14300801,292280000,259122273
OP Domain Rajshahi,Chapainobabgonj Zone,Chapainawabganj Region,Mondomala,284,86,60,168,142,6375759,6188904,93068,186855,8124883,664,6334549,8712983,8712983,198689000,192710726
OP Domain Sylhet,Beanibazar Zone,Gowainghat Region,Darbosto,285,105,84,185,155,14527891,14350485,48273,177406,3554281,411,2209859,4165152,4165152,377775000,343109876
OP Domain Sylhet,Sylhet Zone,Sylhet Region,Companiganj-1,286,78,68,137,120,11227855,11144786,72355,83069,2457420,302,1913855,3007374,3007374,298486000,290460973
OP Domain Sylhet,Beanibazar Zone,Beanibazar Region,Beanibazar-2,287,86,81,134,125,13105068,12631554,261121,473514,7999743,994,4339406,10126131,10126131,372940000,366870672
OP Domain Sylhet,Beanibazar Zone,Juri Region,Barlekha-1,288,59,41,100,87,7618502,7549351,69458,69151,2117943,202,1279365,2471963,2471963,271706000,304939617
OP Domain Dhaka,Narsingdi Zone,Hasnabad Region,GHORADIA,289,84,60,140,116,12224458,11781286,93422,443172,14750235,1080,10472128,16359336,16359336,320542000,291959487
OP Domain Sylhet,Moulvibazar Zone,Moulvibazar Region,Rajnagar Munshibazar,290,79,72,131,122,14156667,14041085,61733,115582,2381705,264,1398278,2899579,2899579,389722000,365820257
OP Domain Dinajpur,Panchogor Zone,Boda Region,Boda,291,78,62,154,144,8241324,7951781,74950,289542,11075185,1006,8225285,11987494,11987494,239374000,237509475
OP Domain Dinajpur,Thakurgaon Zone,Thakurgaon Region,Goreahat,292,116,106,164,163,7393887,6697358,249389,696529,10379762,1384,6290089,12839801,12839801,216665000,212702787
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Talora,293,70,56,144,130,7721875,7525145,122077,196730,7821043,729,4955531,9003482,9003482,225721000,216338309
OP Domain Dinajpur,Panchogor Zone,Boda Region,Ruhia,294,80,80,165,160,8330472,7833749,66733,496723,8985704,992,5672221,10654146,10654146,235239000,220481769
OP Domain Rangpur,Gaibandha Zone,Saghata Region,Barokona,295,56,40,105,90,7033242,6573764,35304,459478,10660745,879,7962215,12368000,12368000,185311000,176169871
OP Domain Bogra,Bogra South Zone,Dhunat Region,Sonamukhi,296,99,76,174,160,7951051,7503824,104662,447227,9778114,812,5670071,11672421,11672421,239382000,227296458
OP Domain Rangpur,Lalmonirhat Zone,Kaliganj Region 2,Chaklarhat,297,108,100,227,213,12229245,11945215,106878,284029,8166567,704,5927056,9370322,9370322,338126000,323343355
OP Domain Rajshahi,Chapainobabgonj Zone,Shibganj Region-2,Barogachhi,298,99,71,183,191,3598209,3584705,46163,13504,1149466,112,862055,1222085,1222085,194355000,182187670
OP Domain Rajshahi,Chapainobabgonj Zone,Gomastapur Region,Mollikpur,299,83,60,146,122,5867894,5713089,38996,154806,3470978,406,2618656,4210573,4210573,162646000,148402447
OP Domain Rangpur,Polashbari Zone,Polashbari Region,Gobindogonj-2,300,79,61,116,107,8373773,8021882,44170,351891,9871728,782,7122157,11305735,11305735,212828000,201759567
OP Domain Rangpur,Rangpur Zone,Modern Region,HARAGACHA,301,70,41,127,114,8159922,7988908,9979,171014,3045553,268,1838149,3752389,3752389,298724000,319732721
OP Domain Dinajpur,Panchogor Zone,Boda Region,Panchagarh-1,302,102,77,213,188,10464421,10057022,72255,407398,7985349,766,4357702,9441541,9441541,279679000,261985344
OP Domain Dinajpur,Syedpur Zone,Bodorgonj Region,Taraganj,303,127,107,193,188,11020233,10668478,63989,351755,7509263,673,4759213,8754019,8754019,299869000,286820267
OP Domain Bogra,Bogra Central Zone,Dupchachiya Region,Jianagor,304,54,54,128,110,5431563,5289689,29667,141874,5688483,520,4267915,6211111,6211111,171201000,172513853
OP Domain Dinajpur,Syedpur Zone,Nilfamari Region,Kishoreganj-1,305,103,88,219,200,11821275,11550232,119650,271043,4952823,513,3165632,6068734,6068734,310843000,296239919
OP Domain Natore,Natore Zone,Najirpur Region,Kasikata,306,61,50,123,112,6036270,5848402,42662,187868,6015825,572,4541044,7156761,7156761,180721000,173325871
OP Domain Natore,Natore Zone,Najirpur Region,Najirpur-1,307,67,64,110,110,7387526,7247665,66218,139861,5064518,468,3684687,6160151,6160151,220762000,213179508
OP Domain Natore,Natore Zone,Najirpur Region,Hatiandaha,308,67,98,106,135,6660796,6344561,78299,316235,8063319,719,5458575,9539828,9539828,201366000,196646308
OP Domain Chittagaon,Feni Zone,Feni Region,Sagolnaiya,309,56,47,81,65,7981670,7108163,75579,873507,7287276,742,1897039,12403600,12403600,223675000,206534038
OP Domain Natore,Chatmohor Zone,Bonpara Region,Zonail,310,65,54,115,103,6641008,6361749,55086,279259,8177543,696,5804581,9265962,9265962,184581000,176007570
